config_name,strategy,chunk_size,overlap,similarity_threshold,top_k,eval_file_hash,dataset_hash,num_questions,num_unanswerable,num_scored_for_retrieval,num_scored_for_faithfulness,num_scored_for_answer_relevancy,recall_at_5,mrr,ndcg_at_5,faithfulness,answer_relevancy
fixed_c256_o25_min200,fixed,256,25,0.6,5,2e56ec74fb0b325f,b76e1839133e90cd,150,0,150,0,0,0.51,0.3260000000000002,0.35460660671897726,,
fixed_c512_o51_min200,fixed,512,51,0.6,5,2e56ec74fb0b325f,b76e1839133e90cd,150,0,150,0,0,0.57,0.4593333333333335,0.4730793551745825,,
fixed_c1024_o102_min200,fixed,1024,102,0.6,5,2e56ec74fb0b325f,b76e1839133e90cd,150,0,150,0,0,0.59,0.48700000000000015,0.49630921181665255,,
recursive_c256_o25_min200,recursive,256,25,0.6,5,2e56ec74fb0b325f,b76e1839133e90cd,150,0,150,0,0,0.51,0.3636666666666667,0.3663636298777002,,
recursive_c512_o51_min200,recursive,512,51,0.6,5,2e56ec74fb0b325f,b76e1839133e90cd,150,0,150,0,0,0.64,0.5350000000000001,0.5478353611819397,,
